molecule_chembl_id,smiles,standard_type,standard_value,standard_units,assay_chembl_id,target_chembl_id,pIC50
CHEMBL322970,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,380.0,nM,CHEMBL686321,CHEMBL262,6.42021640338319
CHEMBL112564,CN(C)Cc1c(-c2n[nH]c(-c3ccncc3)n2)nnn1-c1nonc1N,IC50,6920.0,nM,CHEMBL686321,CHEMBL262,5.1598939055432425
CHEMBL321421,CCN(CC)Cc1c(C(=O)N/N=C/c2ccncc2)nnn1-c1nonc1N,IC50,410.0,nM,CHEMBL686321,CHEMBL262,6.3872161432802645
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,160.0,nM,CHEMBL686321,CHEMBL262,6.795880017344075
CHEMBL114582,CC(C)CNCc1c(C(=O)NCc2ccncc2)nnn1-c1nonc1N,IC50,250000.0,nM,CHEMBL686321,CHEMBL262,3.6020599913279625
CHEMBL115875,NNC(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,IC50,9600.0,nM,CHEMBL686321,CHEMBL262,5.017728766960431
CHEMBL113447,CN(CCc1ccncc1)C(=O)c1nnn(-c2nonc2N)c1CN1CCCCC1,IC50,250000.0,nM,CHEMBL686321,CHEMBL262,3.6020599913279625
CHEMBL325353,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCCC1,IC50,100.0,nM,CHEMBL686321,CHEMBL262,7.0
CHEMBL113168,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCCC1,IC50,1160.0,nM,CHEMBL686321,CHEMBL262,5.935542010773082
CHEMBL112483,Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,IC50,9300.0,nM,CHEMBL686321,CHEMBL262,5.031517051446065
CHEMBL323944,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCC1,IC50,240.0,nM,CHEMBL686321,CHEMBL262,6.619788758288394
CHEMBL113272,Nc1nonc1-n1nnc(C(=O)N/N=C/c2ccncc2)c1CN1CCCC1,IC50,100.0,nM,CHEMBL686321,CHEMBL262,7.0
CHEMBL112819,Nc1nonc1-n1nnc(C(=O)NCCc2ccncc2)c1CN1CCCC1,IC50,2100.0,nM,CHEMBL686321,CHEMBL262,5.6777807052660805
CHEMBL111895,CCN(CC)Cc1c(C(=O)NN)nnn1-c1nonc1N,IC50,17000.0,nM,CHEMBL686319,CHEMBL262,4.769551078621726
CHEMBL323012,CCN(CC)Cc1c(C(=O)NCCc2ccncc2)nnn1-c1nonc1N,IC50,11700.0,nM,CHEMBL686321,CHEMBL262,4.931814138253839
CHEMBL326705,Nc1nonc1-n1nnc(-c2n[nH]c(-c3ccncc3)n2)c1CN1CCCCC1,IC50,280.0,nM,CHEMBL686321,CHEMBL262,6.552841968657781
CHEMBL111298,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O,IC50,4.0,nM,CHEMBL682323,CHEMBL262,8.397940008672037
CHEMBL326688,CN(C)CCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2cccnc21,IC50,140.0,nM,CHEMBL682323,CHEMBL262,6.853871964321762
